Address,Count,Longitude,Latitude,Businesses
185 Greenwich Street,17,-74.0113762,40.7113982,"Joie, Babesta, Starbucks, The Wooly Public, Cohen's Fashion Optical, Exchange Cleaners, Guess, Book Nook, Downtown Florist, Chase Bank, Transcendental Meditation Program, ACQUA at Peck Slip, Chase Bank, Hank's Juicy Beef, Poké Green, Yoga Shanti, Reform Club Movement Studio"
230 Vesey Street,6,-74.0154149,40.7131304,"Signature Bank, T-Mobile, Galli Theater, Latin Social, 75 Club, Warren 77"
82 Fulton Street,6,-74.0058365,40.7091006,"Fulton Haircutters, Bennie's Thai Café, Asian Wok Chinese Restaurant, Tandoor Palace, NY City Buyers, Taslima Newsstand"
14 Fulton Street,5,-74.003574,40.706682,"Sweets By CHLOE, by CHLOE, Cynthia Rowley, Lee Lee's Forest, Alexis Bittar"
60 Wall Street,5,-74.008536,40.706205,"Cobbler Express, 60 Wall Street Atrium, The Country Cafe, Starbucks, Martin News"
225 Liberty Street,4,-74.015486,40.7123253,"Skinny Pizza, Fuku, Pink, Flowers by Yasmine"
39 John Street,4,-74.008132,40.709435,"C & J Luxury Inc., Jupioca, 9 to 5 Fashion Outlet, S&M Universal Jewelry"
99 Nassau Street,4,-74.007586,40.710504,"Uriel Shoe Repair, NYC Check Express, U Tea, Tansey Tang Jewelry, Gemstone & Gifts"
110 Wall Street,3,-74.0063968,40.7049122,"Milk Bar, Fuku, The Mailroom"
123 William Street,3,-74.0071476,40.7093248,"BentOn Cafe, Open Kitchen, Menya Jiro"
200 Broadway,3,-74.0089171,40.7104473,"Chick-fil-A, Wetzel's Pretzels, The Great American Bagel Bakery"
233 Broadway,3,-74.0082925,40.7124491,"Starbucks, The Wooly Public, Cohen's Fashion Optical"
38 Warren Street,3,-74.00845479,40.71452058,"7-Eleven, Sleepy's, Namira Inc."
40 Exchange Place,3,-74.00950873,40.70598271,"Fabio Doti Hair Salon, Minas Shoe Repair Inc., Marie Costa News Stand"
88 Greenwich Street,3,-74.0143621,40.7081175,"9/11 Tribute Museum, Boundless Plains Espresso, Petropolis"
1 New York Plaza,2,-74.0120105,40.7021004,"Thunder Bun, Cappone's Salumeria"
111 Broadway,2,-74.011961,40.708834,"Subway, Jos. A. Bank"
123 Washington Street,2,-74.01385368,40.70894198,"W New York - Downtown, Living Room Bar & Terrace"
13 South William Street,2,-74.010121,40.704502,"Vintry Wine & Whiskey, Bathtub Whiskey"
143 Fulton Street,2,-74.008167,40.710524,"Moxy NYC Downtown, Recreation"
145 Nassau Street,2,-74.0067,40.71165,"Brooklyn Bridge Bike Rent, Antonella's Barbershop"
150 Broadway,2,-74.0100953,40.7091841,"Modell's Sporting Goods, I Love New York Gifts"
2 Gold Street,2,-74.006707,40.707302,"Montessori School of Manhattan, Santander Bank"
200 Water Street,2,-74.0067575,40.7073413,"The Chubby Princess, Plaza Deli"
217 Broadway,2,-74.00855974,40.71167906,"New York Sports Club, Staples"
22 Cortlandt Street,2,-74.01105306,40.70959625,"Financier Patisserie, Century 21 Department Stores"
220 Front Street,2,-74.002233,40.707526,"Bin 220, Jack's Stir Brew Coffee"
25 Murray Street,2,-74.0081429,40.7140217,"Book Nook, Downtown Florist"
261 Water Street,2,-74.00172361,40.7082435,"Thai Farm Kitchen, ACQUA at Peck Slip"
270 Broadway,2,-74.0072147,40.7143487,"Chase Bank, Hank's Juicy Beef"
28 Warren Street,2,-74.0079198,40.7143886,"Yoga Shanti, Reform Club Movement Studio"
3 Hanover Square,2,-74.00972569,40.7048742,"Ray's Jewelry, Leonidas Belgian Chocolates"
30 Broad Street,2,-74.011535,40.706112,"Bluestone Lane Coffee, My.Suit"
47 Broadway,2,-74.012974,40.706401,"China Chalet, NY Gifts"
50 Murray Street,2,-74.0100543,40.7141901,"Schnipper's Quality Kitchen, AT&T"
80 Nassau Street,2,-74.008055,40.709829,"Mike's Noodle House, Monster Deals"
84 William Street,2,-74.0076891,40.7079777,"AKA Wall Street, Blue Ribbon Federal Grill"
1 Fulton Street,1,-74.0032893,40.7067825,10 Corso Como
1 Hanover Square,1,-74.009734,40.7046145,Financier Patisserie
1 Wall Street Court,1,-74.008597,40.705192,Haru Restaurant & Sushi Bar
10 Liberty Place,1,-74.009347,40.709193,Xi'an Famous Foods
10 Liberty Street,1,-74.00808246,40.70738715,Financier Patisserie
100 Church Street,1,-74.0101583,40.7133292,Aroma Espresso Bar
108 South Street,1,-74.002063,40.707101,Nonfinito Gallery
11 Broadway,1,-74.0140249,40.7052799,Cafe Plaza Deli
11 Park Place,1,-74.0081867,40.7133359,Poke Bar
110 William Street,1,-74.0067282,40.7087737,HSBC
112 John Street,1,-74.00578067,40.70759299,Angel Body Work
112 Trinity Place,1,-74.01191803,40.70971938,NYU Medhattan Urgent Care
115 Broadway,1,-74.0109198,40.7087133,HSBC
118 Chambers Street,1,-74.0086093,40.7150231,Front Art Space
119 Fulton Street,1,-74.00680117,40.71023003,Spring Nail Spa N.Y.
119 South Street,1,-74.0015425,40.7073164,The Paris Cafe´
12 John Street,1,-74.0091249,40.7098261,Casa Toscana
124 Nassau Street,1,-74.00680535,40.71093271,New Fresh Cleaners
125 Fulton Street,1,-74.00738509,40.71013309,District Bagels
125 Maiden Lane,1,-74.0062499,40.7066092,PNC Bank ATM
126 Nassau Street,1,-74.006595,40.711139,The Beekman Pub
133 Greenwich Stre,1,-74.0126397,40.7093565,Courtyard by Marriott Downtown Manhattan/World Trade Center
136 William Street,1,-74.0065778,40.70932506,Smashburger
14 Wall Street,1,-74.010828,40.707583,Feed Your Soul Cafe
140 Nassau Street,1,-74.00625975,40.71131232,Bank of America ATM
141 Fulton Street,1,-74.00850286,40.71050004,Pronto Pizza
15 Ann Street,1,-74.00785928,40.71093489,Pita Express
15 Maiden Lane,1,-74.00895755,40.7098112,G.D. Watch and Jewelry Repairs
15 Stone Street,1,-74.012089,40.7041,Latte Art
154 Chambers Street,1,-74.01002277,40.71577786,Tribeca Hardware
156 Chambers Street,1,-74.01007232,40.71580045,Mariachi's
156 Front Street,1,-74.005795,40.706101,Chase Bank
160 Broadway,1,-74.01008417,40.70945182,Milk + Honey
164 Pearl Street,1,-74.007216,40.705889,Lane Jewelers
166 William Street,1,-74.00570642,40.71021986,Dante's Gourmet Foods
17 John Street,1,-74.00880803,40.70988819,The Assemblage
170 Broadway,1,-74.0099212,40.7095628,GAP
170 John Street,1,-74.00428412,40.70594799,Trading Post
173 Broadway,1,-74.01019385,40.71000993,Fedoroff's Steaks
18 Pine Street,1,-74.009875,40.707769,18|8 Fine Men's Salons
19 Murray Street,1,-74.00821613,40.71363446,Moving Visions Dance
2 River Terrace,1,-74.0165239,40.7154964,Le Pain Quotidien
2 Water Street,1,-74.012756,40.702732,New York Health & Racquet Club
200 Chambers Street,1,-74.011958,40.716078,Polarn O. Pyret
200 West Street,1,-74.01477833,40.71512288,Artsee Eyewear
21 Fulton Street,1,-74.003666,40.707136,DITA Eyewear
21 Murray Street,1,-74.00831067,40.71365619,Spot Canine Club
21 South End Avenue,1,-74.016842,40.713273,Ningbo Cafe
222 Broadway,1,-74.0083944,40.7108734,Pret A Manger
226 Front Street,1,-74.00214295,40.70760005,Made Fresh Daily
25 Broad Street,1,-74.0111372,40.7060887,Exchange Cleaners
25 Fulton Street,1,-74.003778,40.707246,Guess
253 Broadway,1,-74.007234,40.71326,Chase Bank
26 Beaver Street,1,-74.0119835,40.7048175,Transcendental Meditation Program
275 Greenwich Street,1,-74.0108719,40.7151628,Poké Green
30 Vesey Street,1,-74.0099509,40.71209723,Travelex Currency Services Inc.
33 Maiden Lane,1,-74.0084933,40.7091363,Godiva Chocolatier
40 Water Street,1,-74.010253,40.703526,Water Street Greenmarket
41 John Street,1,-74.008056,40.709349,RHX Super Value
45 Beekman Street,1,-74.0055219,40.71022062,Sola Lab
47 Ann Street,1,-74.00687667,40.71037373,American Foliage
5 Beekman Street,1,-74.006806,40.711262,Augustine
50 William Street,1,-74.00891,40.706686,Radisson Wall Street
52 Broadway,1,-74.01250549,40.70658083,Amalgamated Bank
53 Nassau Street,1,-74.0090596,40.70897937,Diwanekhaas
53 Park Place,1,-74.01023639,40.71379976,Amish Market Tribeca
55 Broadway,1,-74.013103,40.706846,Sale & Pepe Caterers
55 Liberty Street,1,-74.0093796,40.7088662,Starbucks
55 Murray Street,1,-74.009678,40.714278,DeRose Method Tribeca
55 Nassau Street,1,-74.00900543,40.70906084,Jacobi Barber Shop
56 Pine Street,1,-74.008381,40.706772,Green Healthy Food Cafe
6 Murray Street,1,-74.0080159,40.71330796,Manhattan Proper
6 Stone Street,1,-74.0125661,40.70399907,Murphy's Tavern
63 Broadway,1,-74.012578,40.707395,Shobha
65 Nassau Street,1,-74.0086743,40.7094986,PROOF Coffee Roasters
66 West Broadway,1,-74.0099756,40.71479064,Vin Sur Vingt
67 Wall Street,1,-74.0083779,40.7055787,Oaxaca Taqueria
70 Fulton Street,1,-74.00539203,40.70890622,R&R Coffee
70 Pine Street,1,-74.0077715,40.7065047,Juice Brothers
71 Broadway,1,-73.9795163,40.7624779,Signature Bank
71 Nassau Street,1,-74.008546,40.709758,T-Mobile
74 Warren Street,1,-74.01010077,40.71524033,Galli Theater
75 Maiden Lane,1,-74.0076347,40.70769198,Latin Social
75 Murray Street,1,-74.010548,40.7148194,75 Club
77 Warren Street,1,-74.01030731,40.71513884,Warren 77
8 Spruce Street,1,-74.00519319,40.71126346,Green Apple Cleaners
80 Broad Street,1,-74.0118572,40.7043408,Gregory's Coffee
80 Maiden Lane,1,-74.0077735,40.7071307,NYC Footcare
80 Warren Street,1,-74.0101787,40.7154179,Xtend Barre
81 Fulton Street,1,-74.00594178,40.70939409,150 Market
85 West Broadway,1,-74.009183,40.715144,AKA Tribeca
88 Nassau Street,1,-74.0077645,40.7100124,Nassau Electronics
9 Murray Street,1,-74.008054,40.713454,Children's Tumbling
90 Chambers Street,1,-74.00742998,40.7145956,Kaede
90 Water Street,1,-74.0085431,40.7047585,Bluestone Lane Coffee
90 West Broadway,1,-74.00949576,40.71553359,Capital One Bank
90 William Street,1,-74.0074723,40.7080704,William Nail Spa N.Y.
92 Chambers Street,1,-74.00809623,40.71433216,Abey Nails & Spa
94 Chambers Street,1,-74.007514,40.714628,Racines NY
96 Broadway,1,-74.011103,40.7079445,T.D. Ameritrade
96 Chambers Street,1,-74.00760288,40.71467545,Sophie's Cuban Cuisine
98 Chambers Street,1,-74.007725,40.714627,Tribeca Hair Studio
One Seaport Plaza,1,-74.004251,40.70662,Superdry
Pier 17,1,-74.0037097,40.7065616,Bar Way?
