Address,Count,Longitude,Latitude,Businesses
185 Greenwich Street,7,-74.0113762,40.7113982,"Gansevoort Liberty Market, Haagen Dazs, Golden Bar, I Love NY Gifts, Brik & Clik, Forme Life, Sunsations Eyes"
70 Pine Street,5,-74.0077715,40.7065047,"Mint House at 70 Pine, Spear Physical Therapy, SAGA, Brooklyn Beef N' Cheese, Overstory"
230 Vesey Street,4,-74.0154149,40.7131304,"SaksWorks, Cicci Di Carne, Adam Lippes, Norwegian Wool"
39 John Street,4,-74.008132,40.709435,"Allure Nail Salon, Burte Lash & Nail, Matto Espresso, 2 Bros. Pizza"
Pier 17,4,-74.0037097,40.7065616,"Momofuku Ssäm Bar, Mister Dips, Carne Mare, Pearl Alley"
10 South Street,3,-74.0116878,40.7010452,"Casa Cipriani, Joe Coffee, Casa Cipriani Club"
1 West Street,2,-74.016047,40.705622,"Sonder Battery Park, Life Time Studio Battery Park"
102 North End Avenue,2,-74.01521,40.714996,"Jackass Burrito, Anassa Taverna"
104 Trinity Place,2,-74.0120054,40.7095464,"Harrys Pizza, Lazzaro Carved Meat & Rotisserie"
123 William Street,2,-74.0071476,40.7093248,"123 Marketplace, Jokr"
13 South William Street,2,-74.010121,40.704502,"Bodega Gran Via, Bathtub Whiskey"
20 Broad Street,2,-74.0113826,40.7067997,"Dntl Bar, Blue Bottle Coffee"
200 Vesey Street,2,-74.0148072,40.7136518,"Sant Ambroeus, Clean Market"
215 Pearl Street,2,-74.006472,40.7072689,"Courtyard Downtown Financial District, Residence Inn Downtown Manhattan/Financial District"
225 Liberty Street,2,-74.015486,40.7123253,"Carbon Health, Adam Grooming Atelier"
80 Maiden Lane,2,-74.0077735,40.7071307,"Cafe Hestia, Five Guys"
88 Greenwich Street,2,-74.0143621,40.7081175,"7-Eleven, Wattle Cafe"
98 William Street,2,-74.0071912,40.70833214,"American Beauty Salon, Orangetheory Fitness"
1 Liberty Plaza,1,-74.0108873,40.7096863,Fidelity Investments
1 New York Plaza,1,-74.0120105,40.7021004,Inday
