Address,Count,Business,Longitude,Latitude
1 Liberty Plaza,1,Fidelity Investments,-74.0108873,40.7096863
10 Battery Place,1,The View at Battery Park,-74.015714,40.702997
100 Broad Street,1,Ampia,-74.012096,40.703459
104 Trinity Place,2,"Harrys Pizza, Lazzaro Carved Meat & Rotisserie",-74.0120054,40.7095464
106 Greenwich Street,1,Dragon Horn Bubble Tea,-74.0136127,40.7085336
122 Nassau Street,1,Pace Gourmet Deli,-74.006767,40.7108429
155 Chambers Street,1,16 Handles,-74.010036,40.715996
174 Broadway,1,New York Gifts,-74.00977824,40.70979524
180 Water Street,1,Citibank,-74.0053852,40.7069308
185 Greenwich Street,2,"Golden Bar, I Love NY Gifts",-74.0113762,40.7113982
20 Broad Street,1,Blue Bottle Coffee,-74.0113826,40.7067997
200 Broadway,1,Krispy Kreme,-74.0089171,40.7104473
200 Vesey Street,1,Clean Market,-74.0148072,40.7136518
200 Water Street,1,Caravan Uyghur Cuisine,-74.0067575,40.7073413
225 Liberty Street,1,Carbon Health,-74.015486,40.7123253
261 Water Street,1,Thai Farm Kitchen,-74.00172361,40.7082435
40 Exchange Place,1,Split Eights,-74.00953019,40.70599084
42 Broadway,1,New Street Barber Shop,-74.0126029,40.7059797
45 John Street,1,Suited,-74.0079162,40.7093194
56 Pine Street,1,Scoops & Snacks,-74.008381,40.706772
69 Murray Street,1,ManiCare,-74.01040029,40.7146088
70 Pine Street,2,"Spear Physical Therapy, Brooklyn Beef N' Cheese",-74.0077715,40.7065047
71 Nassau Street,1,Salt & Pepper,-74.008546,40.709758
74 Warren Street,1,Homemade by Miriam,-74.01010077,40.71524033
87 John Street,1,Chop&Go,-74.00639739,40.70839072
88 Greenwich Street,2,"7-Eleven, Wattle Cafe",-74.0143621,40.7081175
94 Greenwich Street,1,Siena Pizza & Cannoli,-74.013782,40.708143
98 William Street,1,American Beauty Salon,-74.0071912,40.70833214
